,index,Id,OrderId,ProductId,UnitPrice,Quantity,Discount,price,OnSale,discounted_order,order_total
0,0,10248/11,10248,11,14.0,12,0.0,168.0,0,0,440.0
1,1,10248/42,10248,42,9.8,10,0.0,98.0,0,0,440.0
2,2,10248/72,10248,72,34.8,5,0.0,174.0,0,0,440.0
3,3,10249/14,10249,14,18.6,9,0.0,167.4,0,0,1863.4
4,4,10249/51,10249,51,42.4,40,0.0,1696.0,0,0,1863.4
5,5,10250/41,10250,41,7.7,10,0.0,77.0,0,1,1552.6
6,6,10250/51,10250,51,42.4,35,0.15,1261.3999999999999,1,1,1552.6
7,7,10250/65,10250,65,16.8,15,0.15,214.2,1,1,1552.6
8,8,10251/22,10251,22,16.8,6,0.05,95.75999999999999,1,1,654.06
9,9,10251/57,10251,57,15.6,15,0.05,222.29999999999998,1,1,654.06
10,10,10251/65,10251,65,16.8,20,0.0,336.0,0,1,654.06
11,11,10252/20,10252,20,64.8,40,0.05,2462.3999999999996,1,1,3597.8999999999996
12,12,10252/33,10252,33,2.0,25,0.05,47.5,1,1,3597.8999999999996
13,13,10252/60,10252,60,27.2,40,0.0,1088.0,0,1,3597.8999999999996
14,14,10253/31,10253,31,10.0,20,0.0,200.0,0,0,1444.8000000000002
15,15,10253/39,10253,39,14.4,42,0.0,604.8000000000001,0,0,1444.8000000000002
16,16,10253/49,10253,49,16.0,40,0.0,640.0,0,0,1444.8000000000002
17,17,10254/24,10254,24,3.6,15,0.15,45.9,1,1,556.62
18,18,10254/55,10254,55,19.2,21,0.15,342.72,1,1,556.62
19,19,10254/74,10254,74,8.0,21,0.0,168.0,0,1,556.62
20,20,10255/2,10255,2,15.2,20,0.0,304.0,0,0,2490.5
21,21,10255/16,10255,16,13.9,35,0.0,486.5,0,0,2490.5
22,22,10255/36,10255,36,15.2,25,0.0,380.0,0,0,2490.5
23,23,10255/59,10255,59,44.0,30,0.0,1320.0,0,0,2490.5
24,24,10256/53,10256,53,26.2,15,0.0,393.0,0,0,517.8
25,25,10256/77,10256,77,10.4,12,0.0,124.80000000000001,0,0,517.8
26,26,10257/27,10257,27,35.1,25,0.0,877.5,0,0,1119.9
27,27,10257/39,10257,39,14.4,6,0.0,86.4,0,0,1119.9
28,28,10257/77,10257,77,10.4,15,0.0,156.0,0,0,1119.9
29,29,10258/2,10258,2,15.2,50,0.2,608.0,1,1,1614.88
30,30,10258/5,10258,5,17.0,65,0.2,884.0000000000001,1,1,1614.88
31,31,10258/32,10258,32,25.6,6,0.2,122.88000000000002,1,1,1614.88
32,32,10259/21,10259,21,8.0,10,0.0,80.0,0,0,100.8
33,33,10259/37,10259,37,20.8,1,0.0,20.8,0,0,100.8
34,34,10260/41,10260,41,7.7,16,0.25,92.4,1,1,1504.6499999999999
35,35,10260/57,10260,57,15.6,50,0.0,780.0,0,1,1504.6499999999999
36,36,10260/62,10260,62,39.4,15,0.25,443.24999999999994,1,1,1504.6499999999999
37,37,10260/70,10260,70,12.0,21,0.25,189.0,1,1,1504.6499999999999
38,38,10261/21,10261,21,8.0,20,0.0,160.0,0,0,448.0
39,39,10261/35,10261,35,14.4,20,0.0,288.0,0,0,448.0
40,40,10262/5,10262,5,17.0,12,0.2,163.20000000000002,1,1,584.0
41,41,10262/7,10262,7,24.0,15,0.0,360.0,0,1,584.0
42,42,10262/56,10262,56,30.4,2,0.0,60.8,0,1,584.0
43,43,10263/16,10263,16,13.9,60,0.25,625.5,1,1,1873.7999999999997
44,44,10263/24,10263,24,3.6,28,0.0,100.8,0,1,1873.7999999999997
45,45,10263/30,10263,30,20.7,60,0.25,931.4999999999999,1,1,1873.7999999999997
46,46,10263/74,10263,74,8.0,36,0.25,216.0,1,1,1873.7999999999997
47,47,10264/2,10264,2,15.2,35,0.0,532.0,0,1,695.625
48,48,10264/41,10264,41,7.7,25,0.15,163.625,1,1,695.625
49,49,10265/17,10265,17,31.2,30,0.0,936.0,0,0,1176.0
50,50,10265/70,10265,70,12.0,20,0.0,240.0,0,0,1176.0
51,51,10266/12,10266,12,30.4,12,0.05,346.56,1,1,346.56
52,52,10267/40,10267,40,14.7,50,0.0,735.0,0,1,3536.6
53,53,10267/59,10267,59,44.0,70,0.15,2618.0,1,1,3536.6
54,54,10267/76,10267,76,14.4,15,0.15,183.6,1,1,3536.6
55,55,10268/29,10268,29,99.0,10,0.0,990.0,0,0,1101.2
56,56,10268/72,10268,72,27.8,4,0.0,111.2,0,0,1101.2
57,57,10269/33,10269,33,2.0,60,0.05,114.0,1,1,642.2
58,58,10269/72,10269,72,27.8,20,0.05,528.2,1,1,642.2
59,59,10270/36,10270,36,15.2,30,0.0,456.0,0,0,1376.0
60,60,10270/43,10270,43,36.8,25,0.0,919.9999999999999,0,0,1376.0
61,61,10271/33,10271,33,2.0,24,0.0,48.0,0,0,48.0
62,62,10272/20,10272,20,64.8,6,0.0,388.79999999999995,0,0,1456.0
63,63,10272/31,10272,31,10.0,40,0.0,400.0,0,0,1456.0
64,64,10272/72,10272,72,27.8,24,0.0,667.2,0,0,1456.0
65,65,10273/10,10273,10,24.8,24,0.05,565.4399999999999,1,1,2037.2799999999997
66,66,10273/31,10273,31,10.0,15,0.05,142.5,1,1,2037.2799999999997
67,67,10273/33,10273,33,2.0,20,0.0,40.0,0,1,2037.2799999999997
68,68,10273/40,10273,40,14.7,60,0.05,837.8999999999999,1,1,2037.2799999999997
69,69,10273/76,10273,76,14.4,33,0.05,451.44,1,1,2037.2799999999997
70,70,10274/71,10274,71,17.2,20,0.0,344.0,0,0,538.6
71,71,10274/72,10274,72,27.8,7,0.0,194.6,0,0,538.6
72,72,10275/24,10275,24,3.6,12,0.05,41.04,1,1,291.84
73,73,10275/59,10275,59,44.0,6,0.05,250.79999999999998,1,1,291.84
74,74,10276/10,10276,10,24.8,15,0.0,372.0,0,0,420.0
75,75,10276/13,10276,13,4.8,10,0.0,48.0,0,0,420.0
76,76,10277/28,10277,28,36.4,20,0.0,728.0,0,0,1200.8
77,77,10277/62,10277,62,39.4,12,0.0,472.79999999999995,0,0,1200.8
78,78,10278/44,10278,44,15.5,16,0.0,248.0,0,0,1488.8
79,79,10278/59,10278,59,44.0,15,0.0,660.0,0,0,1488.8
80,80,10278/63,10278,63,35.1,8,0.0,280.8,0,0,1488.8
