Product Cost,Discount (hypothesis 1 to plot (2).csv),Discount,Id (hypothesis 1 to plot (2).csv),Id,Number of Records,On Sale,OrderDate,OrderId (hypothesis 1 to plot (2).csv),Order Id,ProductId (hypothesis 1 to plot (2).csv),Product Id,Quantity (hypothesis 1 to plot (2).csv),Quantity,ShipAddress,ShipCity,ShipCountry,ShipName,ShipPostalCode,ShipRegion,ShippedDate,UnitPrice (hypothesis 1 to plot (2).csv),Unit Price,Discounted Order,Order Total,Price
168,0,0,10248/11,10248/11,1,0,7/4/2012,10248,10248,11,11,12,12,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,7/16/2012,14,14,0,440,168
98,0,0,10248/42,10248/42,1,0,7/4/2012,10248,10248,42,42,10,10,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,7/16/2012,9.8,9.8,0,440,98
174,0,0,10248/72,10248/72,1,0,7/4/2012,10248,10248,72,72,5,5,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,7/16/2012,34.8,34.8,0,440,174
167.4,0,0,10249/14,10249/14,1,0,7/5/2012,10249,10249,14,14,9,9,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,7/10/2012,18.6,18.6,0,1863.4,167.4
1696,0,0,10249/51,10249/51,1,0,7/5/2012,10249,10249,51,51,40,40,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,7/10/2012,42.4,42.4,0,1863.4,1696
77,0,0,10250/41,10250/41,1,0,7/8/2012,10250,10250,41,41,10,10,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,7/12/2012,7.7,7.7,1,1552.6,77
1261.4,0.15,0.15,10250/51,10250/51,1,1,7/8/2012,10250,10250,51,51,35,35,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,7/12/2012,42.4,42.4,1,1552.6,1261.4
214.2,0.15,0.15,10250/65,10250/65,1,1,7/8/2012,10250,10250,65,65,15,15,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,7/12/2012,16.8,16.8,1,1552.6,214.2
95.76,0.05,0.05,10251/22,10251/22,1,1,7/8/2012,10251,10251,22,22,6,6,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,7/15/2012,16.8,16.8,1,654.06,95.76
222.3,0.05,0.05,10251/57,10251/57,1,1,7/8/2012,10251,10251,57,57,15,15,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,7/15/2012,15.6,15.6,1,654.06,222.3
336,0,0,10251/65,10251/65,1,0,7/8/2012,10251,10251,65,65,20,20,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,7/15/2012,16.8,16.8,1,654.06,336
2462.4,0.05,0.05,10252/20,10252/20,1,1,7/9/2012,10252,10252,20,20,40,40,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,7/11/2012,64.8,64.8,1,3597.9,2462.4
