SalesPrice,Customer Id,Discount,Employee Id,F1,Freight,Id (Order.csv),Id,Number of Records,Order Date,Order Id,Product Id,Quantity,Required Date,Ship Address,Ship City,Ship Country,Ship Name,Ship Postal Code,Ship Region,Ship Via,Shipped Date,Unit Price
14,VINET,0,5,0,32.38,10248,10248/11,1,7/4/2012,10248,11,12,8/1/2012,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,3,7/16/2012,14
9.8,VINET,0,5,1,32.38,10248,10248/42,1,7/4/2012,10248,42,10,8/1/2012,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,3,7/16/2012,9.8
34.8,VINET,0,5,2,32.38,10248,10248/72,1,7/4/2012,10248,72,5,8/1/2012,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,3,7/16/2012,34.8
18.6,TOMSP,0,6,3,11.61,10249,10249/14,1,7/5/2012,10249,14,9,8/16/2012,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,1,7/10/2012,18.6
42.4,TOMSP,0,6,4,11.61,10249,10249/51,1,7/5/2012,10249,51,40,8/16/2012,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,1,7/10/2012,42.4
7.7,HANAR,0,4,5,65.83,10250,10250/41,1,7/8/2012,10250,41,10,8/5/2012,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,2,7/12/2012,7.7
36.04,HANAR,0.15,4,6,65.83,10250,10250/51,1,7/8/2012,10250,51,35,8/5/2012,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,2,7/12/2012,42.4
14.28,HANAR,0.15,4,7,65.83,10250,10250/65,1,7/8/2012,10250,65,15,8/5/2012,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,2,7/12/2012,16.8
15.96,VICTE,0.05,3,8,41.34,10251,10251/22,1,7/8/2012,10251,22,6,8/5/2012,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,1,7/15/2012,16.8
14.82,VICTE,0.05,3,9,41.34,10251,10251/57,1,7/8/2012,10251,57,15,8/5/2012,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,1,7/15/2012,15.6
16.8,VICTE,0,3,10,41.34,10251,10251/65,1,7/8/2012,10251,65,20,8/5/2012,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,1,7/15/2012,16.8
61.56,SUPRD,0.05,4,11,51.3,10252,10252/20,1,7/9/2012,10252,20,40,8/6/2012,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,2,7/11/2012,64.8
