,Id,ProductId,UnitPrice,Quantity,Discount,OrderId,CustomerId,EmployeeId,OrderDate,ShipPostalCode,price,OnSale,discounted_order,order_total,week_day,month
0,10248/11,11,14.0,12,0.0,10248,VINET,5,2012-07-04,51100,168.0,False,False,440.0,2,7
1,10248/42,42,9.8,10,0.0,10248,VINET,5,2012-07-04,51100,98.0,False,False,440.0,2,7
2,10248/72,72,34.8,5,0.0,10248,VINET,5,2012-07-04,51100,174.0,False,False,440.0,2,7
3,10249/14,14,18.6,9,0.0,10249,TOMSP,6,2012-07-05,44087,167.4,False,False,1863.4,3,7
4,10249/51,51,42.4,40,0.0,10249,TOMSP,6,2012-07-05,44087,1696.0,False,False,1863.4,3,7
5,10250/41,41,7.7,10,0.0,10250,HANAR,4,2012-07-08,05454-876,77.0,False,True,1552.6,6,7
6,10250/51,51,42.4,35,0.15,10250,HANAR,4,2012-07-08,05454-876,1261.3999999999999,True,True,1552.6,6,7
7,10250/65,65,16.8,15,0.15,10250,HANAR,4,2012-07-08,05454-876,214.2,True,True,1552.6,6,7
8,10251/22,22,16.8,6,0.05,10251,VICTE,3,2012-07-08,69004,95.75999999999999,True,True,654.06,6,7
9,10251/57,57,15.6,15,0.05,10251,VICTE,3,2012-07-08,69004,222.29999999999998,True,True,654.06,6,7
10,10251/65,65,16.8,20,0.0,10251,VICTE,3,2012-07-08,69004,336.0,False,True,654.06,6,7
11,10252/20,20,64.8,40,0.05,10252,SUPRD,4,2012-07-09,B-6000,2462.3999999999996,True,True,3597.8999999999996,0,7
12,10252/33,33,2.0,25,0.05,10252,SUPRD,4,2012-07-09,B-6000,47.5,True,True,3597.8999999999996,0,7
13,10252/60,60,27.2,40,0.0,10252,SUPRD,4,2012-07-09,B-6000,1088.0,False,True,3597.8999999999996,0,7
14,10253/31,31,10.0,20,0.0,10253,HANAR,3,2012-07-10,05454-876,200.0,False,False,1444.8000000000002,1,7
15,10253/39,39,14.4,42,0.0,10253,HANAR,3,2012-07-10,05454-876,604.8000000000001,False,False,1444.8000000000002,1,7
16,10253/49,49,16.0,40,0.0,10253,HANAR,3,2012-07-10,05454-876,640.0,False,False,1444.8000000000002,1,7
17,10254/24,24,3.6,15,0.15,10254,CHOPS,5,2012-07-11,3012,45.9,True,True,556.62,2,7
18,10254/55,55,19.2,21,0.15,10254,CHOPS,5,2012-07-11,3012,342.72,True,True,556.62,2,7
19,10254/74,74,8.0,21,0.0,10254,CHOPS,5,2012-07-11,3012,168.0,False,True,556.62,2,7
20,10255/2,2,15.2,20,0.0,10255,RICSU,9,2012-07-12,1204,304.0,False,False,2490.5,3,7
21,10255/16,16,13.9,35,0.0,10255,RICSU,9,2012-07-12,1204,486.5,False,False,2490.5,3,7
22,10255/36,36,15.2,25,0.0,10255,RICSU,9,2012-07-12,1204,380.0,False,False,2490.5,3,7
23,10255/59,59,44.0,30,0.0,10255,RICSU,9,2012-07-12,1204,1320.0,False,False,2490.5,3,7
24,10256/53,53,26.2,15,0.0,10256,WELLI,3,2012-07-15,08737-363,393.0,False,False,517.8,6,7
25,10256/77,77,10.4,12,0.0,10256,WELLI,3,2012-07-15,08737-363,124.80000000000001,False,False,517.8,6,7
26,10257/27,27,35.1,25,0.0,10257,HILAA,4,2012-07-16,5022,877.5,False,False,1119.9,0,7
