,Id,OrderId,ProductId,UnitPrice,Quantity,Discount,CustomerId,EmployeeId,OrderDate,ShipVia,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,price,OnSale,discounted_order,order_total,week_day,month,month_name
0,10248/11,10248,11,14.0,12,0.0,VINET,5,2012-07-04,3,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,168.0,0,0,440.0,2,7,jul
3,10249/14,10249,14,18.6,9,0.0,TOMSP,6,2012-07-05,1,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany,167.4,0,0,1863.4,3,7,jul
5,10250/41,10250,41,7.7,10,0.0,HANAR,4,2012-07-08,2,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,77.0,0,1,1552.6,6,7,jul
8,10251/22,10251,22,16.8,6,0.05,VICTE,3,2012-07-08,1,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,95.75999999999999,1,1,654.06,6,7,jul
11,10252/20,10252,20,64.8,40,0.05,SUPRD,4,2012-07-09,2,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,2462.3999999999996,1,1,3597.8999999999996,0,7,jul
14,10253/31,10253,31,10.0,20,0.0,HANAR,3,2012-07-10,2,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,200.0,0,0,1444.8000000000002,1,7,jul
17,10254/24,10254,24,3.6,15,0.15,CHOPS,5,2012-07-11,2,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,45.9,1,1,556.62,2,7,jul
20,10255/2,10255,2,15.2,20,0.0,RICSU,9,2012-07-12,3,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland,304.0,0,0,2490.5,3,7,jul
24,10256/53,10256,53,26.2,15,0.0,WELLI,3,2012-07-15,2,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil,393.0,0,0,517.8,6,7,jul
26,10257/27,10257,27,35.1,25,0.0,HILAA,4,2012-07-16,3,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela,877.5,0,0,1119.9,0,7,jul
29,10258/2,10258,2,15.2,50,0.2,ERNSH,1,2012-07-17,1,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,608.0,1,1,1614.88,1,7,jul
32,10259/21,10259,21,8.0,10,0.0,CENTC,4,2012-07-18,3,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Central America,05022,Mexico,80.0,0,0,100.8,2,7,jul
34,10260/41,10260,41,7.7,16,0.25,OTTIK,4,2012-07-19,1,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,92.4,1,1,1504.6499999999999,3,7,jul
38,10261/21,10261,21,8.0,20,0.0,QUEDE,4,2012-07-19,2,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,160.0,0,0,448.0,3,7,jul
40,10262/5,10262,5,17.0,12,0.2,RATTC,8,2012-07-22,3,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,163.20000000000002,1,1,584.0,6,7,jul
43,10263/16,10263,16,13.9,60,0.25,ERNSH,9,2012-07-23,3,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,625.5,1,1,1873.7999999999997,0,7,jul
47,10264/2,10264,2,15.2,35,0.0,FOLKO,6,2012-07-24,3,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,532.0,0,1,695.625,1,7,jul
49,10265/17,10265,17,31.2,30,0.0,BLONP,2,2012-07-25,1,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,936.0,0,0,1176.0,2,7,jul
51,10266/12,10266,12,30.4,12,0.05,WARTH,3,2012-07-26,3,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,346.56,1,1,346.56,3,7,jul
52,10267/40,10267,40,14.7,50,0.0,FRANK,4,2012-07-29,1,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,735.0,0,1,3536.6,6,7,jul
55,10268/29,10268,29,99.0,10,0.0,GROSR,8,2012-07-30,3,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela,990.0,0,0,1101.2,0,7,jul
57,10269/33,10269,33,2.0,60,0.05,WHITC,5,2012-07-31,1,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,114.0,1,1,642.2,1,7,jul
59,10270/36,10270,36,15.2,30,0.0,WARTH,1,2012-08-01,1,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,456.0,0,0,1376.0,2,8,aug
61,10271/33,10271,33,2.0,24,0.0,SPLIR,6,2012-08-01,2,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,48.0,0,0,48.0,2,8,aug
62,10272/20,10272,20,64.8,6,0.0,RATTC,6,2012-08-02,2,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,388.79999999999995,0,0,1456.0,3,8,aug
65,10273/10,10273,10,24.8,24,0.05,QUICK,3,2012-08-05,3,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,565.4399999999999,1,1,2037.2799999999997,6,8,aug
70,10274/71,10274,71,17.2,20,0.0,VINET,6,2012-08-06,1,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,344.0,0,0,538.6,0,8,aug
72,10275/24,10275,24,3.6,12,0.05,MAGAA,1,2012-08-07,1,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,41.04,1,1,291.84,1,8,aug
74,10276/10,10276,10,24.8,15,0.0,TORTU,8,2012-08-08,3,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,372.0,0,0,420.0,2,8,aug
76,10277/28,10277,28,36.4,20,0.0,MORGK,2,2012-08-09,3,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany,728.0,0,0,1200.8,3,8,aug
78,10278/44,10278,44,15.5,16,0.0,BERGS,8,2012-08-12,2,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,248.0,0,0,1488.8,6,8,aug
82,10279/17,10279,17,31.2,15,0.25,LEHMS,8,2012-08-13,2,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,351.0,1,1,351.0,0,8,aug
83,10280/24,10280,24,3.6,12,0.0,BERGS,2,2012-08-14,1,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,43.2,0,0,613.2,1,8,aug
86,10281/19,10281,19,7.3,1,0.0,ROMEY,4,2012-08-14,1,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,7.3,0,0,86.5,1,8,aug
89,10282/30,10282,30,20.7,6,0.0,ROMEY,4,2012-08-15,1,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,124.19999999999999,0,0,155.39999999999998,2,8,aug
91,10283/15,10283,15,12.4,20,0.0,LILAS,3,2012-08-16,3,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,248.0,0,0,1414.8000000000002,3,8,aug
95,10284/27,10284,27,35.1,15,0.25,LEHMS,4,2012-08-19,1,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,394.87500000000006,1,1,1170.375,6,8,aug
99,10285/1,10285,1,14.4,45,0.2,QUICK,1,2012-08-20,2,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,518.4000000000001,1,1,1743.3600000000001,0,8,aug
102,10286/35,10286,35,14.4,100,0.0,QUICK,8,2012-08-21,3,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,1440.0,0,0,3016.0,1,8,aug
104,10287/16,10287,16,13.9,40,0.15,RICAR,8,2012-08-22,3,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,472.59999999999997,1,1,818.9999999999999,2,8,aug
