,Id,OrderId,ProductId,UnitPrice,Quantity,Discount,CustomerId,EmployeeId,OrderDate,ShipVia,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,price,OnSale,discounted_order,order_total,week_day,month,month_name
0,10248/11,10248,11,14.0,12,0.0,VINET,5,2012-07-04,3,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,168.0,0,0,440.0,2,7,jul
1,10248/42,10248,42,9.8,10,0.0,VINET,5,2012-07-04,3,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,98.0,0,0,440.0,2,7,jul
2,10248/72,10248,72,34.8,5,0.0,VINET,5,2012-07-04,3,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,174.0,0,0,440.0,2,7,jul
3,10249/14,10249,14,18.6,9,0.0,TOMSP,6,2012-07-05,1,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany,167.4,0,0,1863.4,3,7,jul
4,10249/51,10249,51,42.4,40,0.0,TOMSP,6,2012-07-05,1,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany,1696.0,0,0,1863.4,3,7,jul
5,10250/41,10250,41,7.7,10,0.0,HANAR,4,2012-07-08,2,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,77.0,0,1,1552.6,6,7,jul
6,10250/51,10250,51,42.4,35,0.15,HANAR,4,2012-07-08,2,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,1261.3999999999999,1,1,1552.6,6,7,jul
7,10250/65,10250,65,16.8,15,0.15,HANAR,4,2012-07-08,2,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,214.2,1,1,1552.6,6,7,jul
8,10251/22,10251,22,16.8,6,0.05,VICTE,3,2012-07-08,1,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,95.75999999999999,1,1,654.06,6,7,jul
9,10251/57,10251,57,15.6,15,0.05,VICTE,3,2012-07-08,1,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,222.29999999999998,1,1,654.06,6,7,jul
10,10251/65,10251,65,16.8,20,0.0,VICTE,3,2012-07-08,1,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,336.0,0,1,654.06,6,7,jul
11,10252/20,10252,20,64.8,40,0.05,SUPRD,4,2012-07-09,2,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,2462.3999999999996,1,1,3597.8999999999996,0,7,jul
12,10252/33,10252,33,2.0,25,0.05,SUPRD,4,2012-07-09,2,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,47.5,1,1,3597.8999999999996,0,7,jul
