Id,OrderId,ProductId,UnitPrice,Quantity,Discount,price,OnSale,discounted_order,order_total
10248/11,10248,11,14.0,12,0.0,168.0,0,0,440.0
10248/42,10248,42,9.8,10,0.0,98.0,0,0,440.0
10248/72,10248,72,34.8,5,0.0,174.0,0,0,440.0
10249/14,10249,14,18.6,9,0.0,167.4,0,0,1863.4
10249/51,10249,51,42.4,40,0.0,1696.0,0,0,1863.4
10250/41,10250,41,7.7,10,0.0,77.0,0,1,1552.6
10250/51,10250,51,42.4,35,0.15,1261.3999999999999,1,1,1552.6
10250/65,10250,65,16.8,15,0.15,214.2,1,1,1552.6
10251/22,10251,22,16.8,6,0.05,95.75999999999999,1,1,654.06
10251/57,10251,57,15.6,15,0.05,222.29999999999998,1,1,654.06
10251/65,10251,65,16.8,20,0.0,336.0,0,1,654.06
10252/20,10252,20,64.8,40,0.05,2462.3999999999996,1,1,3597.8999999999996
10252/33,10252,33,2.0,25,0.05,47.5,1,1,3597.8999999999996
10252/60,10252,60,27.2,40,0.0,1088.0,0,1,3597.8999999999996
10253/31,10253,31,10.0,20,0.0,200.0,0,0,1444.8000000000002
10253/39,10253,39,14.4,42,0.0,604.8000000000001,0,0,1444.8000000000002
10253/49,10253,49,16.0,40,0.0,640.0,0,0,1444.8000000000002
10254/24,10254,24,3.6,15,0.15,45.9,1,1,556.62
10254/55,10254,55,19.2,21,0.15,342.72,1,1,556.62
10254/74,10254,74,8.0,21,0.0,168.0,0,1,556.62
10255/2,10255,2,15.2,20,0.0,304.0,0,0,2490.5
10255/16,10255,16,13.9,35,0.0,486.5,0,0,2490.5
10255/36,10255,36,15.2,25,0.0,380.0,0,0,2490.5
10255/59,10255,59,44.0,30,0.0,1320.0,0,0,2490.5
10256/53,10256,53,26.2,15,0.0,393.0,0,0,517.8
10256/77,10256,77,10.4,12,0.0,124.80000000000001,0,0,517.8
10257/27,10257,27,35.1,25,0.0,877.5,0,0,1119.9
10257/39,10257,39,14.4,6,0.0,86.4,0,0,1119.9
10257/77,10257,77,10.4,15,0.0,156.0,0,0,1119.9
10258/2,10258,2,15.2,50,0.2,608.0,1,1,1614.88
10258/5,10258,5,17.0,65,0.2,884.0000000000001,1,1,1614.88
10258/32,10258,32,25.6,6,0.2,122.88000000000002,1,1,1614.88
10259/21,10259,21,8.0,10,0.0,80.0,0,0,100.8
10259/37,10259,37,20.8,1,0.0,20.8,0,0,100.8
10260/41,10260,41,7.7,16,0.25,92.4,1,1,1504.6499999999999
10260/57,10260,57,15.6,50,0.0,780.0,0,1,1504.6499999999999
10260/62,10260,62,39.4,15,0.25,443.24999999999994,1,1,1504.6499999999999
10260/70,10260,70,12.0,21,0.25,189.0,1,1,1504.6499999999999
10261/21,10261,21,8.0,20,0.0,160.0,0,0,448.0
10261/35,10261,35,14.4,20,0.0,288.0,0,0,448.0
10262/5,10262,5,17.0,12,0.2,163.20000000000002,1,1,584.0
10262/7,10262,7,24.0,15,0.0,360.0,0,1,584.0
10262/56,10262,56,30.4,2,0.0,60.8,0,1,584.0
10263/16,10263,16,13.9,60,0.25,625.5,1,1,1873.7999999999997
10263/24,10263,24,3.6,28,0.0,100.8,0,1,1873.7999999999997
10263/30,10263,30,20.7,60,0.25,931.4999999999999,1,1,1873.7999999999997
10263/74,10263,74,8.0,36,0.25,216.0,1,1,1873.7999999999997
10264/2,10264,2,15.2,35,0.0,532.0,0,1,695.625
10264/41,10264,41,7.7,25,0.15,163.625,1,1,695.625
10265/17,10265,17,31.2,30,0.0,936.0,0,0,1176.0
10265/70,10265,70,12.0,20,0.0,240.0,0,0,1176.0
10266/12,10266,12,30.4,12,0.05,346.56,1,1,346.56
10267/40,10267,40,14.7,50,0.0,735.0,0,1,3536.6
10267/59,10267,59,44.0,70,0.15,2618.0,1,1,3536.6
10267/76,10267,76,14.4,15,0.15,183.6,1,1,3536.6
10268/29,10268,29,99.0,10,0.0,990.0,0,0,1101.2
10268/72,10268,72,27.8,4,0.0,111.2,0,0,1101.2
10269/33,10269,33,2.0,60,0.05,114.0,1,1,642.2
10269/72,10269,72,27.8,20,0.05,528.2,1,1,642.2
10270/36,10270,36,15.2,30,0.0,456.0,0,0,1376.0
10270/43,10270,43,36.8,25,0.0,919.9999999999999,0,0,1376.0
10271/33,10271,33,2.0,24,0.0,48.0,0,0,48.0
10272/20,10272,20,64.8,6,0.0,388.79999999999995,0,0,1456.0
10272/31,10272,31,10.0,40,0.0,400.0,0,0,1456.0
10272/72,10272,72,27.8,24,0.0,667.2,0,0,1456.0
10273/10,10273,10,24.8,24,0.05,565.4399999999999,1,1,2037.2799999999997
10273/31,10273,31,10.0,15,0.05,142.5,1,1,2037.2799999999997
10273/33,10273,33,2.0,20,0.0,40.0,0,1,2037.2799999999997
10273/40,10273,40,14.7,60,0.05,837.8999999999999,1,1,2037.2799999999997
10273/76,10273,76,14.4,33,0.05,451.44,1,1,2037.2799999999997
10274/71,10274,71,17.2,20,0.0,344.0,0,0,538.6
10274/72,10274,72,27.8,7,0.0,194.6,0,0,538.6
10275/24,10275,24,3.6,12,0.05,41.04,1,1,291.84
10275/59,10275,59,44.0,6,0.05,250.79999999999998,1,1,291.84
10276/10,10276,10,24.8,15,0.0,372.0,0,0,420.0
10276/13,10276,13,4.8,10,0.0,48.0,0,0,420.0
10277/28,10277,28,36.4,20,0.0,728.0,0,0,1200.8
10277/62,10277,62,39.4,12,0.0,472.79999999999995,0,0,1200.8
10278/44,10278,44,15.5,16,0.0,248.0,0,0,1488.8
10278/59,10278,59,44.0,15,0.0,660.0,0,0,1488.8
10278/63,10278,63,35.1,8,0.0,280.8,0,0,1488.8
10278/73,10278,73,12.0,25,0.0,300.0,0,0,1488.8
10279/17,10279,17,31.2,15,0.25,351.0,1,1,351.0
10280/24,10280,24,3.6,12,0.0,43.2,0,0,613.2
10280/55,10280,55,19.2,20,0.0,384.0,0,0,613.2
10280/75,10280,75,6.2,30,0.0,186.0,0,0,613.2
10281/19,10281,19,7.3,1,0.0,7.3,0,0,86.5
10281/24,10281,24,3.6,6,0.0,21.6,0,0,86.5
10281/35,10281,35,14.4,4,0.0,57.6,0,0,86.5
10282/30,10282,30,20.7,6,0.0,124.19999999999999,0,0,155.39999999999998
10282/57,10282,57,15.6,2,0.0,31.2,0,0,155.39999999999998
10283/15,10283,15,12.4,20,0.0,248.0,0,0,1414.8000000000002
10283/19,10283,19,7.3,18,0.0,131.4,0,0,1414.8000000000002
10283/60,10283,60,27.2,35,0.0,952.0,0,0,1414.8000000000002
10283/72,10283,72,27.8,3,0.0,83.4,0,0,1414.8000000000002
10284/27,10284,27,35.1,15,0.25,394.87500000000006,1,1,1170.375
10284/44,10284,44,15.5,21,0.0,325.5,0,1,1170.375
10284/60,10284,60,27.2,20,0.25,408.0,1,1,1170.375
10284/67,10284,67,11.2,5,0.25,41.99999999999999,1,1,1170.375
10285/1,10285,1,14.4,45,0.2,518.4000000000001,1,1,1743.3600000000001
10285/40,10285,40,14.7,40,0.2,470.4,1,1,1743.3600000000001
10285/53,10285,53,26.2,36,0.2,754.5600000000001,1,1,1743.3600000000001
10286/35,10286,35,14.4,100,0.0,1440.0,0,0,3016.0
10286/62,10286,62,39.4,40,0.0,1576.0,0,0,3016.0
10287/16,10287,16,13.9,40,0.15,472.59999999999997,1,1,818.9999999999999
10287/34,10287,34,11.2,20,0.0,224.0,0,1,818.9999999999999
10287/46,10287,46,9.6,15,0.15,122.4,1,1,818.9999999999999
10288/54,10288,54,5.9,10,0.1,53.10000000000001,1,1,80.10000000000001
10288/68,10288,68,10.0,3,0.1,27.0,1,1,80.10000000000001
10289/3,10289,3,8.0,30,0.0,240.0,0,0,479.4
10289/64,10289,64,26.6,9,0.0,239.4,0,0,479.4
10290/5,10290,5,17.0,20,0.0,340.0,0,0,2169.0
10290/29,10290,29,99.0,15,0.0,1485.0,0,0,2169.0
10290/49,10290,49,16.0,15,0.0,240.0,0,0,2169.0
10290/77,10290,77,10.4,10,0.0,104.0,0,0,2169.0
10291/13,10291,13,4.8,20,0.1,86.4,1,1,497.52000000000004
10291/44,10291,44,15.5,24,0.1,334.8,1,1,497.52000000000004
10291/51,10291,51,42.4,2,0.1,76.32,1,1,497.52000000000004
10292/20,10292,20,64.8,20,0.0,1296.0,0,0,1296.0
10293/18,10293,18,50.0,12,0.0,600.0,0,0,848.7
10293/24,10293,24,3.6,10,0.0,36.0,0,0,848.7
10293/63,10293,63,35.1,5,0.0,175.5,0,0,848.7
10293/75,10293,75,6.2,6,0.0,37.2,0,0,848.7
10294/1,10294,1,14.4,18,0.0,259.2,0,0,1887.6000000000001
10294/17,10294,17,31.2,15,0.0,468.0,0,0,1887.6000000000001
10294/43,10294,43,36.8,15,0.0,552.0,0,0,1887.6000000000001
10294/60,10294,60,27.2,21,0.0,571.1999999999999,0,0,1887.6000000000001
10294/75,10294,75,6.2,6,0.0,37.2,0,0,1887.6000000000001
10295/56,10295,56,30.4,4,0.0,121.6,0,0,121.6
10296/11,10296,11,16.8,12,0.0,201.60000000000002,0,0,1050.6
10296/16,10296,16,13.9,30,0.0,417.0,0,0,1050.6
10296/69,10296,69,28.8,15,0.0,432.0,0,0,1050.6
10297/39,10297,39,14.4,60,0.0,864.0,0,0,1420.0
10297/72,10297,72,27.8,20,0.0,556.0,0,0,1420.0
10298/2,10298,2,15.2,40,0.0,608.0,0,1,2645.0
10298/36,10298,36,15.2,40,0.25,455.99999999999994,1,1,2645.0
10298/59,10298,59,44.0,30,0.25,990.0,1,1,2645.0
10298/62,10298,62,39.4,15,0.0,591.0,0,1,2645.0
10299/19,10299,19,7.3,15,0.0,109.5,0,0,349.5
10299/70,10299,70,12.0,20,0.0,240.0,0,0,349.5
10300/66,10300,66,13.6,30,0.0,408.0,0,0,608.0
10300/68,10300,68,10.0,20,0.0,200.0,0,0,608.0
10301/40,10301,40,14.7,10,0.0,147.0,0,0,755.0
10301/56,10301,56,30.4,20,0.0,608.0,0,0,755.0
10302/17,10302,17,31.2,40,0.0,1248.0,0,0,2708.7999999999997
10302/28,10302,28,36.4,28,0.0,1019.1999999999999,0,0,2708.7999999999997
10302/43,10302,43,36.8,12,0.0,441.59999999999997,0,0,2708.7999999999997
10303/40,10303,40,14.7,40,0.1,529.2,1,1,1117.8000000000002
10303/65,10303,65,16.8,30,0.1,453.6,1,1,1117.8000000000002
10303/68,10303,68,10.0,15,0.1,135.0,1,1,1117.8000000000002
10304/49,10304,49,16.0,30,0.0,480.0,0,0,954.4
10304/59,10304,59,44.0,10,0.0,440.0,0,0,954.4
10304/71,10304,71,17.2,2,0.0,34.4,0,0,954.4
10305/18,10305,18,50.0,25,0.1,1125.0,1,1,3741.3
10305/29,10305,29,99.0,25,0.1,2227.5,1,1,3741.3
10305/39,10305,39,14.4,30,0.1,388.8,1,1,3741.3
10306/30,10306,30,20.7,10,0.0,207.0,0,0,498.5
10306/53,10306,53,26.2,10,0.0,262.0,0,0,498.5
10306/54,10306,54,5.9,5,0.0,29.5,0,0,498.5
10307/62,10307,62,39.4,10,0.0,394.0,0,0,424.0
10307/68,10307,68,10.0,3,0.0,30.0,0,0,424.0
10308/69,10308,69,28.8,1,0.0,28.8,0,0,88.8
10308/70,10308,70,12.0,5,0.0,60.0,0,0,88.8
10309/4,10309,4,17.6,20,0.0,352.0,0,0,1762.0
10309/6,10309,6,20.0,30,0.0,600.0,0,0,1762.0
10309/42,10309,42,11.2,2,0.0,22.4,0,0,1762.0
10309/43,10309,43,36.8,20,0.0,736.0,0,0,1762.0
10309/71,10309,71,17.2,3,0.0,51.599999999999994,0,0,1762.0
10310/16,10310,16,13.9,10,0.0,139.0,0,0,336.0
10310/62,10310,62,39.4,5,0.0,197.0,0,0,336.0
10311/42,10311,42,11.2,6,0.0,67.19999999999999,0,0,268.79999999999995
10311/69,10311,69,28.8,7,0.0,201.6,0,0,268.79999999999995
10312/28,10312,28,36.4,4,0.0,145.6,0,0,1614.8
10312/43,10312,43,36.8,24,0.0,883.1999999999999,0,0,1614.8
10312/53,10312,53,26.2,20,0.0,524.0,0,0,1614.8
10312/75,10312,75,6.2,10,0.0,62.0,0,0,1614.8
10313/36,10313,36,15.2,12,0.0,182.39999999999998,0,0,182.39999999999998
10314/32,10314,32,25.6,40,0.1,921.6000000000001,1,1,2094.3
10314/58,10314,58,10.6,30,0.1,286.2,1,1,2094.3
10314/62,10314,62,39.4,25,0.1,886.5,1,1,2094.3
10315/34,10315,34,11.2,14,0.0,156.79999999999998,0,0,516.8
10315/70,10315,70,12.0,30,0.0,360.0,0,0,516.8
10316/41,10316,41,7.7,10,0.0,77.0,0,0,2835.0
10316/62,10316,62,39.4,70,0.0,2758.0,0,0,2835.0
10317/1,10317,1,14.4,20,0.0,288.0,0,0,288.0
10318/41,10318,41,7.7,20,0.0,154.0,0,0,240.4
10318/76,10318,76,14.4,6,0.0,86.4,0,0,240.4
