country,Price_Disc-Full,Price_Disc/Total,Quant_Disc-Full,Quant_Disc/Total,AvgPrice_Disc,AvgPrice_Full,AvgPrice/item,AvgOrderPrice,PctOf-orders,PctOf-Income,orders2-Income,DiscountGap
France,-21576.2975,0.3674,-378,0.4419,20.7865,28.341,52921.7698,1056.6016,9.28,6.43,1.4432,7.5545
Germany,-33551.8265,0.4272,-125,0.4932,21.6475,28.2541,136483.298,1887.579,14.7,18.19,0.8081,6.6065
Brazil,-19941.4835,0.4068,-451,0.4469,22.9147,27.0045,65350.1452,1288.2624,10.0,8.45,1.1834,4.0898
Belgium,-15311.105,0.2737,-572,0.2945,22.5777,25.0183,24987.4066,1780.2555,2.29,2.67,0.8577,2.4406
Switzerland,-7951.421,0.3746,-87,0.4659,19.9842,29.1073,20433.4712,1760.7033,2.17,2.5,0.868,9.123
Venezuela,-17156.671,0.349,-638,0.3913,17.2559,20.6959,38143.7451,1235.0137,5.54,4.49,1.2339,3.4401
Austria,3028.8385,0.5118,-159,0.4846,26.1647,23.4651,65016.1025,3200.096,4.82,10.11,0.4768,-2.6996
Mexico,-16575.5225,0.1486,-729,0.1444,23.6708,22.8949,20230.7946,842.2171,3.37,1.86,1.8118,-0.7759
USA,-47182.7495,0.4039,-802,0.457,23.2648,28.8953,150667.2617,2012.9886,14.7,19.4,0.7577,5.6306
Sweden,-8972.36,0.4177,-263,0.4412,23.0846,25.4073,32737.9737,1472.8416,4.46,4.31,1.0348,2.3228
Finland,-6910.0475,0.3163,-331,0.313,21.4802,21.1514,13146.8362,855.0024,2.65,1.49,1.7785,-0.3288
Italy,1988.355,0.563,78,0.5474,19.7317,18.5239,7364.769,563.2198,3.37,1.25,2.696,-1.2078
Spain,-3433.38,0.4045,-132,0.4081,24.829,25.196,11018.4074,781.8783,2.77,1.42,1.9507,0.3669
UK,-26981.81,0.2712,-1170,0.2867,20.3496,21.9717,43770.7373,1053.0591,6.75,4.66,1.4485,1.6221
Ireland,8062.625,0.5807,566,0.6681,25.7967,37.4931,22135.5564,2630.5213,2.29,3.95,0.5797,11.6964
Portugal,-1202.6375,0.4476,75,0.5704,16.891,27.6747,6663.923,882.4894,1.57,0.91,1.7253,10.7837
Canada,5379.49,0.5536,162,0.5408,25.8974,24.5976,23511.9026,1673.2097,3.61,3.97,0.9093,-1.2998
Denmark,-9929.9775,0.348,-220,0.406,23.9274,30.641,21786.8533,1814.5012,2.17,2.58,0.8411,6.7136
