,Group1,Group2,Meandiff,Lower,Upper,Reject
0,Argentina,Austria,2692.6522,827.8043,4557.5002,True
1,Argentina,Belgium,1272.8118,-866.3155,3411.9391,False
2,Argentina,Brazil,780.8186,-940.4869,2502.1241,False
3,Argentina,Canada,1165.7659,-785.865,3117.3969,False
4,Argentina,Denmark,1307.0575,-859.063,3473.178,False
5,Argentina,Finland,347.5586,-1723.8218,2418.9391,False
6,Argentina,France,549.1578,-1182.9524,2281.2681,False
7,Argentina,Germany,1380.1352,-296.1157,3056.3862,False
8,Argentina,Ireland,2123.0776,-16.0497,4262.2049,False
9,Argentina,Italy,55.7761,-1919.95,2031.5022,False
10,Argentina,Mexico,334.7733,-1640.9528,2310.4994,False
11,Argentina,Norway,448.4146,-2569.5569,3466.386,False
12,Argentina,Poland,-2.8795,-2859.7747,2854.0157,False
13,Argentina,Portugal,375.0457,-1978.9558,2729.0472,False
14,Argentina,Spain,274.4345,-1777.8983,2326.7674,False
15,Argentina,Sweden,965.3979,-920.927,2851.7227,False
16,Argentina,Switzerland,1253.2595,-912.861,3419.3801,False
17,Argentina,UK,545.6154,-1241.4961,2332.7268,False
18,Argentina,USA,1505.5449,-170.7061,3181.7958,False
19,Argentina,Venezuela,727.5699,-1102.1994,2557.3392,False
20,Austria,Belgium,-1419.8404,-3176.3827,336.7019,False
21,Austria,Brazil,-1911.8336,-3125.2865,-698.3807,True
22,Austria,Canada,-1526.8863,-3049.5283,-4.2443,True
23,Austria,Denmark,-1385.5947,-3174.9111,403.7217,False
24,Austria,Finland,-2345.0936,-4018.471,-671.7161,True
25,Austria,France,-2143.4944,-3372.2258,-914.7629,True
26,Austria,Germany,-1312.517,-2461.1651,-163.8689,True
27,Austria,Ireland,-569.5746,-2326.1169,1186.9677,False
28,Austria,Italy,-2636.8761,-4190.2817,-1083.4706,True
29,Austria,Mexico,-2357.8789,-3911.2844,-804.4734,True
30,Austria,Norway,-2244.2376,-5004.2606,515.7853,False
31,Austria,Poland,-2695.5317,-5278.4419,-112.6214,True
32,Austria,Portugal,-2317.6065,-4330.2909,-304.9222,True
33,Austria,Spain,-2418.2177,-4067.9587,-768.4767,True
34,Austria,Sweden,-1727.2543,-3165.2379,-289.2708,True
35,Austria,Switzerland,-1439.3927,-3228.7091,349.9238,False
36,Austria,UK,-2147.0369,-3452.1586,-841.9152,True
37,Austria,USA,-1187.1074,-2335.7555,-38.4593,True
38,Austria,Venezuela,-1965.0823,-3328.0316,-602.1329,True
39,Belgium,Brazil,-491.9932,-2095.3258,1111.3395,False
40,Belgium,Canada,-107.0459,-1955.4631,1741.3714,False
41,Belgium,Denmark,34.2457,-2039.3649,2107.8564,False
42,Belgium,Finland,-925.2531,-2899.6897,1049.1834,False
43,Belgium,France,-723.6539,-2338.5808,891.2729,False
44,Belgium,Germany,107.3234,-1447.54,1662.1868,False
45,Belgium,Ireland,850.2658,-1195.1311,2895.6627,False
46,Belgium,Italy,-1217.0357,-3090.8757,656.8043,False
47,Belgium,Mexico,-938.0385,-2811.8785,935.8016,False
48,Belgium,Norway,-824.3972,-3776.6734,2127.879,False
49,Belgium,Poland,-1275.6912,-4063.0974,1511.7149,False
50,Belgium,Portugal,-897.7661,-3166.9303,1371.3981,False
51,Belgium,Spain,-998.3773,-2952.8217,956.0672,False
52,Belgium,Sweden,-307.4139,-2086.7408,1471.913,False
53,Belgium,Switzerland,-19.5522,-2093.1629,2054.0584,False
54,Belgium,UK,-727.1964,-2400.9797,946.5868,False
55,Belgium,USA,232.7331,-1322.1303,1787.5965,False
56,Belgium,Venezuela,-545.2419,-2264.4971,1174.0134,False
57,Brazil,Canada,384.9473,-958.0618,1727.9564,False
58,Brazil,Denmark,526.2389,-1112.9341,2165.4119,False
59,Brazil,Finland,-433.26,-1945.0228,1078.5029,False
60,Brazil,France,-231.6608,-1229.1656,765.844,False
61,Brazil,Germany,599.3166,-297.6936,1496.3268,False
62,Brazil,Ireland,1342.2589,-261.0737,2945.5916,False
63,Brazil,Italy,-725.0425,-2102.8319,652.7468,False
64,Brazil,Mexico,-446.0453,-1823.8347,931.7441,False
65,Brazil,Norway,-332.404,-2997.5422,2332.7342,False
66,Brazil,Poland,-783.6981,-3264.9599,1697.5637,False
67,Brazil,Portugal,-405.7729,-2286.2338,1474.6879,False
68,Brazil,Spain,-506.3841,-1991.9413,979.1731,False
69,Brazil,Sweden,184.5793,-1061.6275,1430.7861,False
70,Brazil,Switzerland,472.4409,-1166.7321,2111.6139,False
71,Brazil,UK,-235.2033,-1325.4223,855.0157,False
72,Brazil,USA,724.7262,-172.2839,1621.7364,False
73,Brazil,Venezuela,-53.2487,-1212.0695,1105.5721,False
74,Canada,Denmark,141.2916,-1738.2985,2020.8817,False
75,Canada,Finland,-818.2073,-2587.7828,951.3683,False
76,Canada,France,-616.6081,-1973.4377,740.2215,False
77,Canada,Germany,214.3693,-1070.3867,1499.1253,False
78,Canada,Ireland,957.3116,-891.1056,2805.7289,False
79,Canada,Italy,-1109.9898,-2766.575,546.5953,False
80,Canada,Mexico,-830.9926,-2487.5777,825.5925,False
81,Canada,Norway,-717.3513,-3536.7364,2102.0338,False
82,Canada,Poland,-1168.6454,-3814.8938,1477.6031,False
83,Canada,Portugal,-790.7202,-2884.0677,1302.6273,False
84,Canada,Spain,-891.3314,-2638.5723,855.9095,False
85,Canada,Sweden,-200.368,-1749.2393,1348.5032,False
86,Canada,Switzerland,87.4936,-1792.0965,1967.0837,False
87,Canada,UK,-620.1506,-2046.5264,806.2253,False
88,Canada,USA,339.7789,-944.9771,1624.5349,False
89,Canada,Venezuela,-438.196,-1917.6677,1041.2757,False
90,Denmark,Finland,-959.4989,-2963.1486,1044.1509,False
91,Denmark,France,-757.8997,-2408.4151,892.6158,False
92,Denmark,Germany,73.0777,-1518.7177,1664.8731,False
93,Denmark,Ireland,816.0201,-1257.5906,2889.6307,False
